Phrase,Meaning,Is This Accurate?
Kundi,Ass,(10%) (1%)
Kundi mon,Son of a anas,(1%) (1%)
Kundi oota,Asshole,(0%) (0%)
kundimol,lady with vibrating ass,(10%) (3%)
kunji kunnan,man with small pennise,(10%) (3%)
kunna,penis,(10%) (2%)
Kunna,Dick,(1%) (0%)
kunna chappu,suck cok,(1%) (0%)
Kunna Oli,Dick Sucker,(0%) (0%)
Kunna paal,Sperm,(1%) (0%)
Kunna thayoli,Motherfucking Dick,(10%) (2%)
kunna urunji,dick sucker,(10%) (4%)
kunnappal,sperm,(0%) (100%)
kushukk,fart,(1%) (1%)
Lick Me,Anea Nakaa,(0%) (0%)
malayalam,malayalam,(1%) (1%)
Maratel ooki,Tree fucker,(10%) (4%)
Masa,Prostitute,(9%) (7%)
Mattanga Poore,Pumkin Pussy,(7%) (29%)
Mayiradi mon,Son of the wavy pubic hair,(0%) (0%)
Mlechan,Ignorant,(0%) (0%)
mola,boobs,(10%) (2%)
moonchikko,do suck,(9%) (9%)
Mula Adi,Your boobs swung,(10%) (0%)
mula chappu,suck boobs,(1%) (0%)
mula kashakku,squeeze boobs,(1%) (0%)
mula mol,big boobs girl,(9%) (13%)
Myir,Pubes,(10%) (0%)
Myre,Pubic hair,(9%) (9%)
Myrru,Pubic Hair,(1%) (0%)
Naayi meedan,Dog faced bitch,(0%) (0%)
nayinte mone,Son of a dog,(1%) (0%)
Nayinte Mone,Son Of A Bitch,(10%) (0%)
Nayinte Monne,Son of a Bitch,(10%) (0%)
ninde andi maire,your dick hair,(1%) (1%)
Ninte ama koondi ishtima,Your mom likes ass,(9%) (6%)
Ninte ammakku vettu nayinte mone,fuck your mother you son of a bitch,(1%) (1%)
Ninte ammaku vetu,Fuck your mom,(0%) (100%)
ninte ammeda tar,your moms black cum,(1%) (2%)
Ninte Ammede Kothil.,In your mothers ass hole.,(1%) (0%)
ninte ammede pooru,your mothers pussy,(1%) (0%)
Ninte ammede thenga mairu,your moms coconut pubes,(10%) (0%)
ninte appante andi,your fathers dick,(10%) (1%)
Odu myre,run pubic motherfucker,(10%) (3%)
ookki,fucked,(10%) (5%)
oomban,sucker,(7%) (29%)
oombi mon,dick sucker,(1%) (1%)
Oooomb,Fuck off,(0%) (100%)
Ootan,To suck,(0%) (0%)
paara pooru,less used hard pussy,(9%) (6%)
paareel ookki,fucking the rock,(1%) (1%)
Pacha tayolli,green motherfucker,(9%) (9%)
Pachila Pooran,Green Leaf Pussy Man,(10%) (1%)
Paik keriko myra,fuck that cow,(10%) (0%)
paiku vetti,fucking the cow,(10%) (0%)
pala thanthakkundaya thaoli,son born 2 many fathers,(10%) (1%)
pallinedayil kanthu,clitoris sucking,(1%) (1%)
pambara kutichi,whore,(10%) (1%)
pampara thayoli,fucking mother and rounding,(9%) (6%)
panchavarna kunna,a dick with 5 colors,(10%) (0%)
pandi kallan,tamil thief,(9%) (9%)
panniyoli,pig fucker,(9%) (9%)
para andi oomba,other's dick sucker,(1%) (1%)
Para kutichi,whore,(10%) (5%)
para thayoli punda mon,worst man with puzzy,(9%) (9%)
parii,dick,(9%) (9%)
pathala poor,deep pussy,(0%) (100%)
patti poori mon,a person who have pussy like dog,(0%) (0%)
patty theettam,dog shit,(10%) (0%)
Pela molichi,Unfair Girl,(1%) (3%)
Pela vedi,Most Prostitute,(10%) (5%)
pela vedi kandaroli,huge whore,(10%) (3%)
petty,ass,(10%) (2%)
Pezhachu Pettavan,One who was born to a slut,(0%) (100%)
Poda Thayoli,Fuck you motherfucker,(1%) (3%)
podda Patti,go away dog,(10%) (0%)
pola vettu,shouting bad words,(0%) (0%)
poochi,fuck,(0%) (100%)
Pooranddi,Pussy+dick,(10%) (3%)
poore ennayil tenni veetil poda,skid back home in vaginal oil,(0%) (0%)
Poori mone,Son of big Pussy mother,(1%) (0%)
Poorri,Girl with big puzzy,(1%) (0%)
Pooru,pussy,(9%) (5%)
pooru,vagina,(10%) (1%)
Pooru Montha,Cunt Face,(0%) (0%)
poottaavi,pussy steam,(1%) (0%)
poottile mathycurry,fish curry inside pussy,(10%) (0%)
poyi ninte kunna oombadaa,Go suck your dick,(0%) (100%)
poyi oombada,go suck a dick man,(0%) (0%)
praa thayolli,universal mother fucker,(10%) (2%)
Puchi,Pussy,(0%) (100%)
pudti puliyadi,half breed mongrel,(0%) (0%)
Pulayadi monae,Son of a whoremonger,(1%) (1%)
pundachi mone,sone of a bitch,(1%) (0%)
Purusha Vedi,Gigalo,(1%) (1%)
rainayude poore,BIGGEST PUSSY in the world,(9%) (6%)
Santhosh Pandit,Idiot,(1%) (0%)
Shukla mughan,sperm face,(10%) (5%)
shuklam dheeni,sperm eater,(1%) (0%)
shuklam nakki,sperm licker,(10%) (3%)
Takkali pooru,red hot tomato like pussy,(10%) (0%)
Thaayoli,Mother fucker,(9%) (7%)
thabala pooran,pussy drummer,(10%) (1%)
thakara thayoli,BIG damn mother fucker,(10%) (3%)
Thallayoli,Mother Fucker,(1%) (0%)
Thalleyoli,Mother fucker,(9%) (9%)
thayolee,mother fucker,(1%) (1%)
thayoli,mother fucker,(10%) (2%)
Thayoli,Mother Fucker,(1%) (0%)
thayoli idli,Tamil Motherfucker,(1%) (0%)
Thayoli idli,Salman Khan,(10%) (1%)
Theetam,Human feces,(10%) (1%)
theetta moran,a man whose face like shit,(10%) (2%)
theettam,shit,(10%) (1%)
theettathel ookki,fuck with shit,(10%) (3%)
THENGA MYRE,coconut like pubic hair,(0%) (0%)
Thenga pooru,Coconut pussy,(10%) (0%)
Thevadichi,Prostitute,(10%) (1%)
Thokolli kalla sami,Sandeep,(1%) (5%)
Thukal Kunna,Leather penis,(10%) (5%)
umman,man who kiss,(10%) (5%)
vada,navel button on woman,(9%) (9%)
Vadam vali,English,(9%) (14%)
vali,fart,(10%) (2%)
Vayilitto,Suck my dick,(1%) (3%)
vedi,prostitute,(1%) (0%)
vedi pura,brothel,(10%) (1%)
vedi vekkuka,fucking,(8%) (23%)
Veppatti,Bitch / personal prostiute,(10%) (3%)
veshya / veshi,prostitute,(1%) (0%)
vettukili,nikhil,(7%) (31%)
Viral Iduka,Fingering,(10%) (2%)
vouvalinu undaya thayoli,"son of a bat , motherfucker",(10%) (2%)
