Phrase,Meaning,Is This Accurate?
Nee amma roju na modda cheekuthundi,Your mom sucks my cock daily,(10%) (0%)
NEE AMMANI DENGAA,I FUCK YOUR MOTHER,(10%) (4%)
nee ammanu denga,fuck your mother,(10%) (4%)
nee ammanu dnegu,fuck your mother,(9%) (6%)
nee kooturu ni denga,fuck your daughter,(10%) (5%)
nee notlo naa sulli,my cock in ur mourh,(10%) (0%)
nee pallu super,your melons are super!,(1%) (2%)
nee pellaanni denga,fuck your wife,(1%) (1%)
nee pooku chekutha,suck your pussy,(9%) (5%)
nee pukulo naa sulli,my dick in your vagina,(0%) (0%)
Ni akkani pandulu denga,May pigs fuck your sister,(0%) (0%)
Ni pukla na madda,Go fuck off,(0%) (100%)
nihar,dick,(0%) (100%)
Nihar (or) banda pooku,Fat pussy,(0%) (0%)
ninnu dengutha,I will fuck you,(1%) (0%)
Nuvvu nee yendipoyina sulli,You and your Dry Dick,(10%) (0%)
PEDDA SALLADHI,WOMAN WITH BIG BOOBS,(1%) (0%)
Pichi Pukoda,Guy with Crazy Vagina,(1%) (0%)
Pichi Pukudaana,Girl with Crazy Vagina,(1%) (0%)
Poi voungu ra,Go and get fucked,(10%) (2%)
Pooku,Vagina,(1%) (0%)
pooku,pussy,(0%) (0%)
"pooku, dimma, pappa, bokka",pussy/cunt,(9%) (6%)
Poooku chinchu,rip my cunt,(1%) (0%)
pukku naaku,lick the cunt,(10%) (2%)
Puku Peka adistha,Playing Poker with cunt,(10%) (4%)
puthhi,clitoris,(1%) (15%)
sachinoda,idiot,(8%) (23%)
sallu dengutha,fuck your tits,(10%) (3%)
SANALO BOCHHO,HAIR IN ARM PITS,(1%) (1%)
shaata,pubic hair,(1%) (1%)
Sravan (or) konda verri pooku,Mad Hilly pussy,(10%) (0%)
sulii,dick,(9%) (8%)
Sulli pattu,Hold my dick,(10%) (0%)
Teja (or) adivi pooku,Wild pussy,(9%) (9%)
Teja trivikram (or) adivi pooku,Wild pussy,(0%) (100%)
thurku valagodtha,blast your pussy,(10%) (0%)
Vattakai,single ball/testicle,(10%) (1%)
vattalu,balls/ testicles,(1%) (0%)
Vedhava,Stupid,(10%) (0%)
verri puka,mad pussy,(10%) (4%)
vongo petti dengutha lanja,will fuck you bending,(1%) (0%)
